Specie;Linf(mm)TL;Linf(mm)CL;Winf(g);K(ano);L50(mm)CL;L50(mm)TL;Lr(mm)TL;Lr(mm)CL;Lc(mm)CL;Lc(mm)TL;T0;Tmax;F;M;Z;a(w);b(w);a(L);b(L);Author;Location;Region
L.schmitti;;;;;15,8;79;;;;;;;;;;;;;;Santos, 2007;São paulo/SE;SE
L.schmitti;;;;;17,7;88,5;;;;;;;;;;;;;;Santos et al., 2004;Baía Formosa/RN;NE
L.schmitti;;;;;17,7;88,5;;;;;;;;;;;;;;Santos et al., 2004;Sirinhaém (PE)/NE;NE
L.schmitti;152,4680851;44,1;54,25;2,15;;;68;15;22;110;-0,29;2,15;;;;;;;;Lopes, 2012;Baía de santos/SP;SE
L.schmitti;;;;;20,3;101,5;;;;;;;;;;;;;;Coelho & Santos, 1993;Tamandaré/ PE;NE
L.schmitti;;;;;15,2;77,6;;;;;;;;;;;;;;Machado et al., 2009;Sul;S
L.schmitti;211,4147192;61;113;1,09;;;;;;;-0,0465;;;2,04;;;;;;Pasquier & Stotz, 1999;Venezuela;
L.schmitti;222,5762121;64,2;126;1,5;;;60;13,2;;;-0,0205;;7,16;2,04;9,2;;;;;Andrade & Stotz, 1999;Venezuela;
L.schmitti;125,9595396;36,5;35,7;1,8;;;;;;;;;;;;;;;;Sangronis, 2001;Venezuela;
L.schmitti;201,5;40,3;80,4;2,2;25,7;116,8;;;;;;2;;;;;;;;Barioto, 2017;Cananeia/SP;SE
L.schmitti;229,9009418;66,3;110,5;1,62;;;;;;;;2,83;4,09;1,92;6;0,0077;2,99;;;Carvalho, 2013;Rio de janeiro/Sudeste;SE
L.schmitti;;;;1,56;;;;;16;80;;;;0,65;;;;;;Colindres, 2006;Nicaragua;
L.schmitti;;;;1,56;;;;;20,4;102;;;;0,65;;;;;;Colindres, 2006;Nicaragua;
L.schmitti;;;;;;;;;;;;;4,14;3,6;7,74;;;;;Diaz et al., 2014;Venezuela;
L.schmitti;;;;;;;;;;;;;;;;0,00002;2,96;;;Luvesuto, 2006;Rio Grande do Norte;NE
L.schmitti;167,2221835;48,33;64,4;1,61;26,5;132,5;;;;;0,027;;3,18;2,31;5,49;;;;;Gassman & Rojas, 2016;Tacarigua/Venezuela;
L.schmitti;;;;;34,8;162;;;;;;;;;;;;;;Santos, 2010;Coruripe/Alagoas;NE
L.schmitti;;;;;30,02;151;125;27;;;;;;;;;;;;Junior et al., 2021;Santa Catarina/Sul;S
